project_id|sector|ward|project_name|approval_status|reason_not_approved|year|source_document|source_url
CDF2025-048|Health|Ibenga|Upgrade of St.theresa's Mission Hospital mortuary|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-049|Infrastructure|Ibenga|Istallation of street lights at Ibenga trading area a stretch of 2kilometers|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-050|Transport|Ibenga|Construction of a bridge at Ibenga river in Butikili|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-051|Health|Ibenga|Construction of a staff at Mulilantambo clinic|Approved||2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-052|Education|Ibenga|Construction of ablution block at St.theresa's Secondary school|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-053|Education|Ibenga|Construction of 2 staff houses and ablution block at Mipini School|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-054|Education|Nampamba|Construction of 1x3 CRB in Chawama zone|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-055|Water and Sanitation|Nampamba|Upgrade of Mpuku borehole in Mwanga zone|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-056|Transport|Nampamba|Construction of Muchindushi bridge in Chowa zone|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-057|Health|Nampamba|Construction of a staff house, ablution block and water reticulation at chowa health post|Approved||2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-058|Health|Nampamba|Completion of John Chawa clinic in Chawama zone|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-059|Education|Chisapa|Construction of 1x3 CRB and 2 staff houses at Malembeka Primary School|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-060|Education|Chisapa|Drilling of solar powered borehole at Kantolo Primary School|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-061|Road/ Transport|Chisapa|Grading of road connecting Kantolo to Chisapa|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-062|Communication|Chisapa|Construction of a network tower in the ward|Not Approved|Not amongst the recommended projects in the CDF Guidelines|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-063|Education|Chisapa|Construction of a pre-school in Chitina area.|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-064||Musofu|Grading of road from Kapitolo to Mushipashi|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-065|Water and Sanitation|Musofu|Drilling of solar powered boreholes at Musofu market,Kabampa nga market,chitube community school|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-066|Education|Musofu|Upgradin of Mwinuna primary,Mushipa shi primary and Miyanda Community school|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-067|Health|Musofu|Upgrade of Mwinuna and Mushipashi Health posts into Modern clinics.|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-068|Agriculture|Kasamba|Construction of a shelter at Kasamba depot|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-069|Education|Mikata|Construction of 3 dormitories for girls at Chintifu Secondary School|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-070|Education|Mikata|Construction of 1x3 CRB at Nawanda Community School|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-071|Education|Mikata|Construction of 1x3 CRB at Njili Community School|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-072|Education|Mikata|Construction of 1x3 CRB at Mipini Community School|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-073|Health|Mikata|Upgrading of Mikata Rural Health Center to mini hospital|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-074|Security|Munkumpu|Construction of a Police post in Munkumpu Central|Approved||2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-075|Education|Munkumpu|Construction of 2 staff houses in Mulele|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-076|Health & Road|Munkumpu|Construction of a health post and grading of feeder road in Chitabale|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-077|Education|Munkumpu|Construction of a Community School in Chilelwe|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-078|Water and Sanitation|Munkumpu|Drilling of boreholes for each zone in the ward|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-079|Education|Kalweo|Construction of 1x3 CRB,1 staff house and a borehole in Shibulwa|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-080|Education|Kalweo|Construction of 1x2 CRB,1 staff house and a borehole in Busakalala|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-081|Education|Kalweo|Construction of 1x3 CRB,1 staff house and a borehole in Chibuli|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-082|Education|Kalweo|Construction of 1x3 CRB and a staff house in luamabwe|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-083|Education|Kalweo|Construction of 1x3 CRB in Muyambe|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-084|Education|All Wards|Purchase and distribution of 4000 Desks|Approved||2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
